app_id,name,release_date,is_free,developer,publisher,owners_range,price
2370,Hexen: Deathkings of the Dark Citadel,2007-08-03,0,Raven Software,id Software,"200,000 .. 500,000",4.99
2390,Heretic: Shadow of the Serpent Riders,2007-08-03,0,Raven Software,id Software,"100,000 .. 200,000",4.99
2400,The Ship: Murder Party,2006-07-11,0,Outerlight Ltd.,Blazing Griffin,"1,000,000 .. 2,000,000",9.99
2420,The Ship: Single Player,2006-11-20,0,Outerlight Ltd.,Blazing Griffin Ltd.,"200,000 .. 500,000",9.99
2450,Bloody Good Time,2010-10-29,0,Outerlight Ltd.,Ubisoft,"100,000 .. 200,000",4.99
2500,Shadowgrounds,2006-05-08,0,Frozenbyte,Frozenbyte,"200,000 .. 500,000",1.04
2510,Shadowgrounds Demo,2006-05-01,1,Frozenbyte,Frozenbyte,"0 .. 20,000",0.0
2520,Gumboy - Crazy Adventures™,2006-12-19,0,"CINEMAX, s.r.o.","CINEMAX, s.r.o.","50,000 .. 100,000",4.99
2540,RIP - Trilogy™,2007-06-01,0,Elephant Games,Dreamatrix,"100,000 .. 200,000",4.99
2590,Alpha Prime,2007-11-07,0,Black Element,Bohemia Interactive,"200,000 .. 500,000",4.99
2600,Vampire: The Masquerade - Bloodlines,N,0,Troika Games,Activision,"200,000 .. 500,000",19.99
2610,GUN™,2006-10-13,0,Neversoft,Activision,"200,000 .. 500,000",19.99
2620,Call of Duty® (2003),2006-10-13,0,Infinity Ward,Activision,"500,000 .. 1,000,000",19.99
2630,Call of Duty® 2,2006-10-13,0,Infinity Ward,Activision,"5,000,000 .. 10,000,000",19.99
2640,Call of Duty: United Offensive,2006-10-13,0,Gray Matter Studios,Activision,"200,000 .. 500,000",19.99
2700,RollerCoaster Tycoon® 3: Platinum,2008-03-12,0,"Frontier, Aspyr (Mac)","Frontier, Aspyr (Mac)","500,000 .. 1,000,000",0.0
2710,Act of War: Direct Action,2008-03-12,0,Eugen Systems,THQ Nordic,"100,000 .. 200,000",2.99
2720,ThreadSpace: Hyperbol,2007-07-12,0,Iocaine Studios,2K,"0 .. 20,000",4.99
2730,ThreadSpace: Hyperbol Demo,2007-07-06,1,Iocaine Studios,Atari,"0 .. 20,000",0.0
2800,X2: The Threat,2006-07-21,0,Egosoft,Egosoft,"200,000 .. 500,000",4.99
2810,X3: Reunion,2006-07-21,0,Egosoft,Egosoft,"500,000 .. 1,000,000",9.99
2820,X3: Terran Conflict,2008-10-16,0,Egosoft,Egosoft,"500,000 .. 1,000,000",15.99
2840,X: Beyond the Frontier,2010-10-08,0,Egosoft,Egosoft,"200,000 .. 500,000",4.99
2850,X: Tension,2010-10-08,0,Egosoft,Egosoft,"200,000 .. 500,000",4.99
2870,X Rebirth,2013-11-15,0,Egosoft,Egosoft,"500,000 .. 1,000,000",29.99
2900,688(I) Hunter/Killer,2006-10-26,0,Sonalysts,Strategy First,"20,000 .. 50,000",1.99
2910,Fleet Command,2006-10-26,0,Sonalysts,Strategy First,"50,000 .. 100,000",9.99
2920,Sub Command,2006-10-26,0,Sonalysts,Assemble Entertainment,"50,000 .. 100,000",9.99
2990,FlatOut 2,2006-12-21,0,"Bugbear Entertainment, ZOOM Platform Media, Jordan Freeman Group",Strategy First,"500,000 .. 1,000,000",1.99
3010,Xpand Rally,2006-08-24,0,Techland,Techland,"20,000 .. 50,000",4.99
3020,Call of Juarez,2007-11-08,0,Techland,Techland Publishing,"500,000 .. 1,000,000",9.99
3050,Xpand Rally Xtreme,2008-10-08,0,Techland,Techland,"20,000 .. 50,000",4.99
3130,Men of War: Red Tide,2009-11-01,0,Fulqrum Publishing,Fulqrum Publishing,"100,000 .. 200,000",4.99
3170,King's Bounty: Armored Princess,2009-11-19,0,Katauri Interactive,Fulqrum Publishing,"200,000 .. 500,000",9.99
3190,King's Bounty Armored Princess Demo,2009-12-02,1,Katauri Interactive,"1C Company, 1C-SoftClub","0 .. 20,000",0.0
3210,Painkiller Demo,2007-01-24,1,People Can Fly,Nordic Games,"0 .. 20,000",0.0
3230,Genesis Rising,2007-08-06,0,Metamorf,THQ Nordic,"20,000 .. 50,000",4.99
3260,Safecracker: The Ultimate Puzzle Adventure,2007-08-29,0,Kheops Studio,HandyGames,"100,000 .. 200,000",4.99
3270,Painkiller Overdose,2007-10-30,0,Mindware Studios,Prime Matter,"100,000 .. 200,000",0.99
3280,Painkiller Overdose Demo,2007-10-17,1,Mindware Studios,Nordic Games,"0 .. 20,000",0.0
